key,issue_type,title,status,start_date,due_date,parent_key,selected
S14P31B102-104,버그,FE 게스트 모드로 시작해서 로그인할 시 JSESSIONID가 초기화되지 않는 문제,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-34,작업,FE 브라우저 네트워크 탭 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-35,작업,FE 브라우저 탭 기능 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-30,스토리,기본 프론트엔드 컴포넌트 개발,완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-31,작업,FE OS 배경화면 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-32,버그,FE 우측 상단 ch1 글자 제거,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-103,작업,FE outputBundle 런타임 어댑터 구체화,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-40,작업,FE 윈도우 터미널 창 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-33,작업,FE 브라우저 기본 페이지 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-36,작업,FE F12 눌렀을 때 게임 내부 브라우저에서 개발자 도구 열기,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-45,작업,FE 터미널 창 스크롤바 스타일에 맞게 수정,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-54,작업,FE 개발자도구 console 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-55,작업,FE 브라우저 네트워크 탭 200 response 상세 페이지 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-56,작업,FE 브라우저 미니게임 팩멘 initial 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-57,작업,FE ctrl+w 눌렀을 때 게임 내부 브라우저 닫기,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-59,작업,FE 기본 브라우저 우클릭 차단,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-60,작업,"FE 게임 내 브라우저 우클릭 기능 개발 (새 탭, 탭 닫기, 개발자 도구 열기)",완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-61,작업,FE 게임 내 브라우저 ctrl+n 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-65,작업,FE connect_core() 입력시 강아지 등장,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-66,작업,FE 강아지 대사 진행 mock data로 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-67,작업,FE 강아지 질문 채팅창 구현,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-72,작업,FE 전체화면 필수 설정 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-75,작업,FE 챕터 선택 화면 구현,완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-74,작업,FE 닉네임 입력 화면 구현,완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-73,작업,FE 게스트 로그인 주의사항 팝업 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-82,작업,메신저 데이터 & 상태 설계,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-83,작업,메신저 UI 컴포넌트,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-84,작업,데스크탑·태스크바 통합,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-97,작업,FE 스토리 시작/현재 노드/전이 API 연결,완료,,,S14P31B102-22,False
S14P31B102-98,작업,FE 백엔드 StoryNode 응답을 프론트 StoryNode로 정규화,완료,,,S14P31B102-22,False
S14P31B102-99,작업,FE storyRuntimeStore 기반 currentNode 관리 및 outputBundle 분배,완료,,,S14P31B102-22,False
S14P31B102-100,작업,FE 메신저 알림/채팅/기사 보기 transition 연결,완료,,,S14P31B102-22,False
S14P31B102-101,작업,FE 뉴스 카드/기사 상세 렌더링 연결,완료,,,S14P31B102-22,False
S14P31B102-102,작업,outputBundle 처리 1차 문서 작성,완료,,,S14P31B102-22,False
S14P31B102-111,작업,FE 게임 하단바 왼쪽에 종료버튼 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-112,작업,FE 게임 하단바 종료버튼 클릭시 게임 종료 안내문 전체 화면으로,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-119,작업,FE 챕터 1 데이터 연동,완료,,,S14P31B102-22,False
S14P31B102-120,작업,FE 미니게임 1 팩맨 아이콘 및 기능 개선,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-125,작업,ffmpeg을 활용한 비디오 분할 S3 업로드,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-127,작업,output_bundle에 preVideo 있으면 비디오 재생 및 스킵 구현,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-128,작업,bgm 재생 구현,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-129,작업,작업표시줄에 bgm 볼륨 노브 구현,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-134,작업,비디오 재생 전에 전체화면 강제하기,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-137,작업,"FE SSAFY, Google 인증 선택 모달 구현",완료,,,S14P31B102-22,False
S14P31B102-138,작업,FE 메시지 창 픽셀 폰트 적용,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-141,작업,FE 챕터 1 클리어 조건 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-149,작업,"FE 프론트엔드 BGM, SFX 재생 적용",완료,,,S14P31B102-22,False
S14P31B102-154,작업,FE 파비콘 변경,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-155,작업,FE prod 개발자 도구 차단,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-156,작업,FE 다음 챕터 see you in next week 추가,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-160,작업,FE Chapter 1 세부 디자인 및 동작 QA,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-162,버그,FE 다른 회원으로 로그인 시 이전 기록이 남아있는 문제,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-163,버그,FE Chapter 1 새로고침 / 재진입 시 새로 시작하지 못하는 문제,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-124,스토리,"FE AWS CloudFront에서 비디오, 오디오 다운로드 및 실행",완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-80,스토리,FE 메신저 개발,완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-164,작업,FE 프롤로그/에필로그 인게임 영상 삽입,완료,,,S14P31B102-22,False
S14P31B102-177,버그,SSH 인증 중 no 입력 시 터미널 조작 불가능 문제 해결,완료,,,S14P31B102-22,False
S14P31B102-174,버그,FE 커맨드 잘못된 입력 시 응답 통일,완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-42,스토리,윈도우 터미널 백엔드 개발,완료,2026-04-27,2026-05-03,S14P31B102-23,False
S14P31B102-26,스토리,BE 프로젝트 스캐폴딩,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-29,작업,BE 기본 아키텍처 및 공통 환경 설정,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-63,작업,Chapter 1 스토리 노드 API 구현,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-39,작업,Chapter 1 스토리 노드 데이터 구조화,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-41,작업,BE 윈도우 터미널 명령어 입력 REST API 구현,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-71,작업,Google Java Format 스타일 적용,완료,,,S14P31B102-23,False
S14P31B102-62,작업,"RDS, ElastiCache 연결",완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-86,작업,S3 - CloudFront 연동 및 문서화,완료,,,S14P31B102-23,False
S14P31B102-89,작업,스토리 진행 API에 JWT 인증 추가,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-90,스토리,BE AWS S3 presigned 요청 엔드포인트 개발,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-91,작업,S3 기반 미디어 파일 업로드/다운로드 API 구현,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-92,작업,프로젝트 환경 설정 및 Docker 인프라 동기화,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-95,버그,securtiy config 테스트를 위한 과도한 허용 수정,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-81,작업,BE 챕터 목록 조회 및 진행 상태 판별 API 구현,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-110,작업,BE OAuth2 게스트 계정 연동 및 신규 가입 상태 관리 로직 개선,완료,,,S14P31B102-23,False
S14P31B102-135,스토리,SSAFY OAuth 연동,완료,,,S14P31B102-23,False
S14P31B102-136,작업,BE SSAFY OAuth 연동,완료,,,S14P31B102-23,False
S14P31B102-139,작업,BE 터미널 입력 transition 조건 수정,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-140,작업,BE 챕터 클리어 동작 조건 수정,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-157,버그,ddl config validate으로 수정,완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-158,작업,"BE story nodes bgm, playsound 등 업데이트 및 sql 수정",완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-159,작업,"BE dev, prod sql 백업용 dump 추출",완료,2026-04-20,2026-04-26,S14P31B102-23,False
S14P31B102-142,작업,BE 닉네임 설정 완료 시점에 DB에 사용자 데이터 삽입,완료,2026-04-27,2026-05-03,S14P31B102-23,False
S14P31B102-106,스토리,BE 닉네임 관련 로직 개선,완료,2026-04-27,2026-05-03,S14P31B102-23,False
S14P31B102-49,작업,ElasticSearch 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-143,작업,Jenkins 세팅,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-126,작업,"로컬, 개발, 배포 DB에 비디오, 오디오 주소 업데이트",완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-130,스토리,Chapter 1 스토리 노드 세부 수정,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-52,스토리,CI/CD 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-68,스토리,챕터 1 영상 및 효과,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-69,작업,챕터 1 엔딩 영상 미드저니,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-43,스토리,사용자 로그 분석 및 힌트 제공 플로우 정리,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-44,작업,Mattermost 힌트 제공 플로우 정리,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-123,작업,동영상 스트리밍 최적화 및 CDN(CloudFront) 인프라 구축,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-121,스토리,INFRA S3 CloudFront 연동 및 설정,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-122,작업,CloudFront CORS정책 설정,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-46,작업,게임 내 루카스 힌트 제공 플로우 정리,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-53,작업,설정 파일 정리,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-64,작업,BE app Docker 컨테이너 설정,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-50,작업,Logstash 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-51,작업,프로젝트 내 Logback 설정,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-48,스토리,ELK 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-88,작업,n8n MR 리뷰 워크플로우 세팅,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-116,작업,ELK EC2 세팅,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-117,작업,ELK EC2 관련 문서 정리,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-118,작업,k8s 마스터 노드 설정,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-132,작업,prometheus 세팅,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-133,작업,grafana 세팅,완료,2026-04-20,2026-04-26,S14P31B102-24,False
S14P31B102-150,스토리,인게임에서 재생될 영상 편집,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-146,작업,BE Dockerfile 작성,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-147,작업,FE Dockerfilie 작성,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-148,작업,Jenkins 설정 문서 작성,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-131,스토리,로깅 툴 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-115,스토리,AWS 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-199,작업,마스터 노드 ELK 스택 세팅,완료,2026-04-27,2026-05-03,S14P31B102-24,False
S14P31B102-153,작업,FE 버그 제보 게임 내의 email 아이콘으로,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-161,버그,FE 게임 플레이 도중 이전 노드로 돌아갔을 때 다음 단계 플레이 안되는 문제,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-169,버그,FE 처음 들어갔을 때 왼쪽 아이콘 클릭해도 채팅열기 되어야함,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-170,버그,FE 터미널에 no 치면 작동 멈춤,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-172,버그,FE 기사 제목 클릭 후 다시 리스트로 이동하기,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-173,스토리,챕터 1 프론트 에러 개선,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-175,버그,FE 루카스 스펠링 Lucas 로 통일,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-176,버그,FE 터미널 안내문구 영어로 통일,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-168,버그,FE 싸피 로그인 창 우측이 잘린 창이 뜸,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-171,버그,"메시지 창에서 기사 보기를 클릭하지 않으면 좌측 브라우저 버튼, 좌측 아래 브라우저 아이콘을 클릭해도 기사가 보이지 않아요",완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-218,버그,FE 기사 가독성 개선 (bold 줄이거나 고딕체로 변경),완료,2026-05-04,2026-05-10,S14P31B102-76,False
S14P31B102-217,버그,FE 기사 body 부분 최대 최소 이상함 수정,완료,2026-05-04,2026-05-10,S14P31B102-76,False
S14P31B102-219,작업,게임 내 버그 신고 기능 구현,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-220,스토리,챕터 2 개발,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-224,작업,FE 브라우저 기반 힌트 제공,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-225,작업,FE 브라우저 콘솔 결과와 터미널 출력 분리,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-226,작업,FE 브라우저 새 탭 챕터 1과 2 분리,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-237,작업,FE 영역 기반 폰트 설정 구조 리팩토링,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-258,작업,FE 챕터별 상태 누수 개선,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-259,작업,FE 터미널 map 애니메이션 개선,완료,2026-04-27,2026-05-03,S14P31B102-76,False
S14P31B102-203,작업,Elasticsearch 사용자 통계 관련 추출 로직 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-204,작업,RAG 프롬프트 조립 및 최종 힌트 API 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-202,작업,lucas_knowledge 세팅 및 Vector 검색 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-213,작업,BE 챕터 2 최근 기록 저장 로직 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-214,작업,BE 챕터 2 가상 터미널 로직 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-200,작업,BE 유저의 행동 정보 + 정답 일치 데이터를 바탕으로 로그 데이터 정의,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-201,작업,BE ElasticSearch에서 사용할 로그 데이터 출력부 추가,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-212,스토리,챕터 2 api 구현 및 연동,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-223,스토리,AI 힌트 개발,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-246,작업,BE 터미널 이전 기록 확인하기 기능 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-247,작업,BE 터미널 tab 자동완성 기능 구현,완료,2026-04-27,2026-05-03,S14P31B102-77,False
S14P31B102-196,스토리,"개발 k8s, Nginx 세팅",완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-227,스토리,prod서버 metric기반 hpa세팅,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-145,작업,자동 릴리즈 연결,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-182,스토리,챕터 2 스토리 데이터 구조화,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-144,작업,Jenkinsfile 작성,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-113,작업,develop 서버 구축,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-114,작업,develop 서버 CD 설정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-165,스토리,로깅 관련 세팅 및 개발,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-166,작업,prometheus docker 포트 추가,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-167,작업,챕터 2 스토리 구체화,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-183,작업,챕터 2 스토리 노드 생성,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-180,작업,k8s 하이브리드 셋업,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-184,작업,챕터 2 스토리 트랜지션 생성,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-190,스토리,infra alb-k8s 운영 배포 세팅,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-181,작업,Loki 세팅,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-191,작업,"acm 발급 및 가비아, alb 할당",완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-231,작업,hpa deployment 관련 Jenkinfile 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-229,작업,k8s 내부 네트워크 주소 tailscale기반 주소로 변경,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-228,작업,metric api 설치 및 세팅,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-197,작업,가비아에 개발 서버 주소 등록,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-192,작업,k8s ingress 설정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-193,작업,"k8s 워커 노드에 백엔드, 프론트 엔드 파드 deploy",완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-198,작업,개발 서버 Nginx 세팅,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-207,작업,tailscale관련 논의,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-208,작업,개발 서버 설정 문서화,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-206,작업,"Nginx 가비아, certbot 등록",완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-205,작업,NginX 설치 및 설정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-194,버그,k8s yaml 세팅 수정 to nodeport,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-209,작업,Prometheus 도커에서 k8s 로깅으로 미그레이션,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-210,스토리,"BGM, 영상 등 에셋",완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-211,작업,챕터 2 미드저니,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-215,작업,로그 데이터에 성공/실패/에러로 세분화하기,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-216,작업,loki 도커에서 k8s 로깅으로 미그레이션,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-230,작업,metric 기반 hpa deployment yaml파일 추가,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-240,작업,FE 메시지 알림 글자 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-241,작업,FE 브라우저 창 기본 크기 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-242,버그,진행 전에 브라우저 데이터 없음 표시 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-243,버그,정답 데이터 JS 분석으로 확인 가능한 문제 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-238,작업,FE 폰트 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-239,버그,FE 2088 년도 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-251,작업,챕터 2 스토리 후반부 구현,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-255,작업,챕터 2 복수 정답 처리 및 노드 분기 수정,완료,2026-04-27,2026-05-03,S14P31B102-78,False
S14P31B102-252,작업,Mattermost 운영 리포트 알림 플로우 추가,완료,,,S14P31B102-78,False
S14P31B102-261,스토리,챕터 2 QA 수정,완료,2026-05-04,2026-05-10,S14P31B102-232,False
S14P31B102-260,스토리,챕터 3 컴포넌트 개발,완료,2026-05-04,2026-05-10,S14P31B102-232,False
S14P31B102-262,작업,액세스 토큰 만료 시 리프레시 처리 로직 개선,완료,2026-05-04,2026-05-10,S14P31B102-232,False
S14P31B102-264,작업,좀비 세션 방지 및 네트워크/서버 에러 글로벌 핸들링 추가,완료,2026-05-04,2026-05-10,S14P31B102-232,False
S14P31B102-265,작업,GA4 및 Clarity 분석 허용 여부 관련 패널 수정,완료,2026-05-04,2026-05-10,S14P31B102-232,False
S14P31B102-266,작업,FE 메모장 기능 개발,완료,2026-05-04,2026-05-10,S14P31B102-232,False
S14P31B102-271,작업,FE 하단바 브라우저 아이콘 클릭시 현재 버전 기사 효과 나오게 수정,완료,2026-05-04,2026-05-10,S14P31B102-232,False
